"Name","Source","Page","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Guardian Emblem","TCE","128","uncommon","wondrous item","requires attunement by a cleric or paladin","","","","This emblem is the symbol of a deity or a spiritual tradition. As an action, you can attach the emblem to a suit of armor or a shield or remove it.The emblem has 3 charges. When you or a creature you can see within 30 feet of you suffers a critical hit while you're wearing the armor or wielding the shield that bears the emblem, you can use your reaction to expend 1 charge to turn the critical hit into a normal hit instead.The emblem regains all expended charges daily at dawn."
"Guild Keyrune","GGR","177","varies","wondrous item","requires attunement by a member of the relevant guild","","","","Associated with a particular guild, a guild keyrune is a ceremonial, stylized key, about 1 foot long, made from carved stone. Not a literal key, the item is a badge of authority that gives its bearer access to privileged places in its guild's headquarters and outposts. At the DM's discretion, a character might be given a keyrune upon attaining a renown score of 25 in their guild.Multiple variations of this item exist, as listed below:Azorius KeyruneBoros KeyruneDimir KeyruneGolgari KeyruneGruul KeyruneIzzet KeyruneOrzhov KeyruneRakdos KeyruneSelesnya KeyruneSimic Keyrune"
"Guild Signet","GGR","178","uncommon","ring","requires attunement","","","","A guild signet is sometimes awarded to a guild member whose renown score in that guild is 5 or higher, as a reward for performing special services for the guild. Aside from its magical properties, the ring is also an indicator of the guild's recognition and favor.Multiple variations of this item exist, as listed below:Azorius Guild SignetBoros Guild SignetDimir Guild SignetGolgari Guild SignetGruul Guild SignetIzzet Guild SignetOrzhov Guild SignetRakdos Guild SignetSelesnya Guild SignetSimic Guild Signet"
"Gulthias Staff","CoS","221","rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.","","Made from the branch of a Gulthias tree (see the blights entry of the Monster Manual), a Gulthias staff is a spongy, black length of wood. Its evil makes beasts visibly uncomfortable while within 30 feet of it. The staff has 10 charges and regains 1d6 + 4 of its expended charges daily at dusk.If the staff is broken or burned to ashes, its wood releases a terrible, inhuman scream that can be heard out to a range of 300 feet. All blights that can hear the scream immediately wither and die. Vampiric Strike. The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to regain a number of hit points equal to the damage dealt by the weapon. Each time a charge is spent, red blood oozes from the staff's pores, and you must succeed on a DC 12 Wisdom saving throw or be afflicted with short term madness (see ""Madness"" in chapter 8 of the Dungeon Master's Guide). Blight Bane. While you are attuned to the staff, blights and other evil plant creatures don't regard you as hostile unless you harm them. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Gurt's Greataxe","SKT","234","legendary","weapon (greataxe), martial weapon, melee weapon","requires attunement","3d12, slashing, - heavy, two-handed","325 lb.","","In the Year of the Icy Axe (123 DR), the frost giant Lord Gurt fell to Uthgar Gardolfsson—leader of the folk who would become the Uthgardt barbarians—in a battle that marked the ascendance of humankind over the giants in the Dessarin Valley. Gurt's greataxe was buried in Morgur's Mound until it was unearthed and brought back to Waterdeep. After laying in the city's vaults for decades, the axe was given to Harshnag, a frost giant adventurer, in recognition of his service to Waterdeep. Uthgardt barbarians recognize the weapon on sight and attack any giant that wields it.You gain a +1 bonus to attack and damage rolls made with this magic weapon. It is sized for a giant, weighs 325 pounds, and deals 3d12 slashing damage on a hit, plus an extra 2d12 slashing damage if the target is human.The axe sheds light as a torch when the temperature around it drops below 0 degrees Fahrenheit. The light can't be shut off in these conditions.As an action, you can cast a version of the heat metal spell (save DC 13) that deals cold damage instead of fire damage. Once this power is used, it can't be used again until the next dawn. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hag Eye","MM","177","unknown (magic)","other","","","","","A hag coven can craft a magic item called a hag eye, which is made from a real eye coated in varnish and often fitted to a pendant or other wearable item. The hag eye is usually entrusted to a minion for safekeeping and transport. A hag in the coven can take an action to see what the hag eye sees if the hag eye is on the same plane of existence. A hag eye has AC 10, 1 hit point, and darkvision with a radius of 60 feet. If it is destroyed, each coven member takes 3d10 psychic damage and is blinded for 24 hours.A hag coven can have only one hag eye at a time, and creating a new one requires all three members of the coven to perform a ritual. The ritual takes 1 hour, and the hags can't perform it while blinded. During the ritual, if the hags take any action other than performing the ritual, they must start over."
"Halberd","PHB","149","none","weapon, martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp"," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Half Plate Armor","PHB","145","none","medium armor","","AC 15 + Dex (max 2)","40 lb.","750 gp","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks."
"Hammer","PHB","150","none","adventuring gear","","","3 lb.","1 gp",""
"Hammer of Runic Focus","BMT","67","very rare","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, bludgeoning, - versatile (1d10)","2 lb.","","This magic hammer has 3 charges. As a bonus action, you can expend 1 charge and slam this hammer on the ground, creating a 15-foot-radius circle of glowing runes centered on the point of impact. While you're inside that area, your hammer glows with matching runes, and you gain a +3 bonus to attack and damage rolls made with this hammer. The rune circle disappears after 1 minute, when you create another rune circle, or when you dismiss the rune circle as a bonus action. This hammer regains 1d3 expended charges daily at dawn. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Hammer of Thunderbolts","DMG","173","legendary","weapon (maul), martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","","You gain a +1 bonus to attack and damage rolls made with this magic weapon. Giant's Bane (Requires Attunement). You must be wearing a belt of giant strength (any variety) and gauntlets of ogre power to attune to this weapon. The attunement ends if you take off either of those items. While you are attuned to this weapon and holding it, your Strength score increases by 4 and can exceed 20, but not 30. When you roll a 20 on an attack roll made with this weapon against a giant, the giant must succeed on a DC 17 Constitution saving throw or die.The hammer also has 5 charges. While attuned to it, you can expend 1 charge and make a ranged weapon attack with the hammer, hurling it as if it had the thrown property with a normal range of 20 feet and a long range of 60 feet. If the attack hits, the hammer unleashes a thunderclap audible out to 300 feet. The target and every creature within 30 feet of it must succeed on a DC 17 Constitution saving throw or be stunned until the end of your next turn. The hammer regains 1d4 + 1 expended charges daily at dawn. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hammerhead Ship","AAG","32","none","vehicle (space)","","Speed: 4 mphCarrying Capacity: 30 tons cargoCrew 15, AC 15, HP 400, Damage Threshold 15","","40,000 gp","Hammerhead ships are popular craft, especially among pirates and merchants carrying heavy cargo. They can float on water and sail across it, but they aren't built to land on the ground (their keels would cause them to tip to one side). Standard weapons on a hammerhead ship include fore and aft mangonels, a ballista, and a reinforced bow for ramming."
"Hammock of Worlds","JttRC","214","legendary","wondrous item","","","","","The Hammock of Worlds is a colorful hammock woven with traditional Ataguan designs. It can be used only by a member of the order known as the Green Doctors.You can use an action to unfold and place the Hammock of Worlds on a solid surface, whereupon it creates a two-way portal to the Ghost Orchid Tepui in the Feywild or to the Drought Elder in the Far Realm (the user's choice). You can use an action to close an open portal by taking hold of the edges of the cloth and folding it up. Once Hammock of Worlds has opened a portal, it can't do so again for 1d8 hours."
"Hand Crossbow","PHB","149","none","weapon, martial weapon, ranged weapon","","1d6, piercing, - ammunition (30/120 ft.), light, loading","3 lb.","75 gp"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Hand Drum","SCAG","124","none","instrument","","","","","A double-headed skin drum fitted with handles along its side.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Hand of Vecna","DMG","224","artifact","wondrous item","requires attunement","","","","Seldom is the name of Vecna spoken except in a hushed voice. Vecna was, in his time, one of the mightiest of all wizards. Through dark magic and conquest, he forged a terrible empire. For all his power, Vecna couldn't escape his own mortality. He began to fear death and take steps to prevent his end from ever coming about.Orcus, the demon prince of undeath, taught Vecna a ritual that would allow him to live on as a lich. Beyond death, he became the greatest of all liches. Even though his body gradually withered and decayed, Vecna continued to expand his evil dominion. So formidable and hideous was his temper that his subjects feared to speak his name. He was the Whispered One, the Master of the Spider Throne, the Undying King, and the Lord of the Rotted Tower.Some say that Vecna's lieutenant Kas coveted the Spider Throne for himself, or that the sword his lord made for him seduced him into rebellion. Whatever the reason, Kas brought the Undying King's rule to an end in a terrible battle that left Vecna's tower a heap of ash. Of Vecna, all that remained were one hand and one eye, grisly artifacts that still seek to work the Whispered One's will in the world.The Eye of Vecna and the Hand of Vecna might be found together or separately. The eye looks like a bloodshot organ torn free from the socket. The hand is a mummified and shriveled left extremity.To attune to the eye, you must gouge out your own eye and press the artifact into the empty socket. The eye grafts itself to your head and remains there until you die. Once in place, the eye transforms into a golden eye with a slit for a pupil, much like that of a cat. If the eye is ever removed, you die.To attune to the hand, you must lop off your left hand at the wrist and the press the artifact against the stump. The hand grafts itself to your arm and becomes a functioning appendage. If the hand is ever removed, you die. Random Properties. The Eye of Vecna and the Hand of Vecna each have the following random properties:1 minor beneficial property1 major beneficial property1 minor detrimental property Properties of the Hand. Your alignment changes to neutral evil, and you gain the following benefits:Your Strength score becomes 20, unless it is already 20 or higher.Any melee spell attack you make with the hand, and any melee weapon attack made with a weapon held by it, deals an extra 2d8 cold damage on a hit.The hand has 8 charges. You can use an action and expend 1 or more charges to cast one of the following spells (save DC 18) from it: finger of death (5 charges), sleep (1 charge), slow (2 charges), or teleport (3 charges). The hand regains 1d4 + 4 expended charges daily at dawn. Each time you cast a spell from the hand, it casts the suggestion spell on you (save DC 18), demanding that you commit an evil act. The hand might have a specific act in mind or leave it up to you. Properties of the Eye and Hand. If you are attuned to both the hand and eye, you gain the following additional benefits:You are immune to disease and poison.Using the eye's X-ray vision never causes you to suffer exhaustion.You experience premonitions of danger and, unless you are incapacitated, can't be surprised.If you start your turn with at least 1 hit point, you regain 1d10 hit points.If a creature has a skeleton, you can attempt to turn its bones to jelly with a touch of the Hand of Vecna. You can do so by using an action to make a melee attack against a creature you can reach, using your choice of your melee attack bonus for weapons or spells. On a hit, the target must succeed on a DC 18 Constitution saving throw or drop to 0 hit points.You can use an action to cast wish. This property can't be used again until 30 days have passed. Destroying the Eye and Hand. If the Eye of Vecna and the Hand of Vecna are both attached to the same creature, and that creature is slain by the Sword of Kas, both the eye and the hand burst into flame, turn to ash, and are destroyed forever. Any other attempt to destroy the eye or hand seems to work, but the artifact reappears in one of Vecna's many hidden vaults, where it waits to be rediscovered."
"Handaxe","PHB","149","none","weapon, simple weapon, melee weapon","","1d6, slashing, - light, thrown (20/60 ft.)","2 lb.","5 gp"," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Harkon's Bite","VRGR","137","uncommon","wondrous item","requires attunement","","","","A dire wolf tooth dangles from this simple cord necklace. While you wear it, the necklace grants you a +1 bonus to ability checks and saving throws. Curse. Attuning to Harkon's Bite curses you until either Harkon Lukas removes the necklace from you or you are targeted by a remove curse spell or similar magic. As long as you remain cursed, you cannot remove the necklace.Upon donning or removing the necklace, whether you are attuned to it or not, you are afflicted with werewolf lycanthropy as detailed in the Monster Manual. The curse lasts until the dawn after the next full moon. If you are still wearing the necklace at this time, you are afflicted with the lycanthropy again."
"Harp of Gilded Plenty","BGG","112","legendary","wondrous item","requires attunement","","","","This golden harp is sculpted in the image of the god Iallanis, depicted as a young cloud giant woman. When a creature comes within 5 feet of the harp, the instrument animates and is capable of speaking, singing, and playing by itself.Whenever you attempt to attune to the harp, you must first make either a DC 15 Charisma (Performance) check or a DC 20 Charisma (Persuasion) check to convince the harp that you are worthy, attuning to the harp on a success. If you fail, you can't attempt to attune to the harp again until the next dawn. Once you have successfully attuned to the harp, the harp resizes to suit you. Stalwart Song. Whenever you make a Charisma check while attuned to the harp, you can treat a roll of 9 or lower on the die as a 10. Feast of Plenty. If you spend 10 minutes playing the harp, you can cast the heroes' feast spell from it. Once this property is used, it can't be used again until 1d10 + 10 days have passed. Soothing Melody. As an action, you can use the harp to cast the calm emotions spell (save DC 19). When the spell is cast using the harp, its duration increases to 1 hour, provided you maintain concentration on the spell. This property can be used five times, and it regains all uses at dawn. Sentience. The harp is a sentient, chaotic good object with an Intelligence of 13, a Wisdom of 15, and a Charisma of 20. It has hearing and darkvision to a range of 120 feet.The harp can speak, read, and understand Common and Giant. It can also communicate telepathically with the creature attuned to it.The harp has a dramatic and pompous personality, taking extreme pride in the quality of music produced from its strings. If the harp is shorter than 6 feet tall, it bemoans its height."
"Hat of Disguise","DMG","173","uncommon","wondrous item","requires attunement","","","","While wearing this hat, you can use an action to cast the disguise self spell from it at will. The spell ends if the hat is removed."
"Hat of Vermin","XGE","137","common","wondrous item","","","","","This hat has 3 charges. While holding the hat, you can use an action to expend 1 of its charges and speak a command word that summons your choice of a bat, a frog, or a rat. The summoned creature magically appears in the hat and tries to get away from you as quickly as possible. The creature is neither friendly nor hostile, and it isn't under your control. It behaves as an ordinary creature of its kind and disappears after 1 hour or when it drops to 0 hit points. The hat regains all expended charges daily at dawn."
"Hat of Wizardry","XGE","137","common","wondrous item","requires attunement by a wizard","","","","This antiquated, cone—shaped hat is adorned with gold crescent moons and stars. While you are wearing it, you gain the following benefits:You can use the hat as a spellcasting focus for your wizard spells.You can try to cast a cantrip that you don't know. The cantrip must be on the wizard spell list, and you must make a DC 10 Intelligence (Arcana) check. If the check succeeds, you cast the spell. If the check fails, so does the spell, and the action used to cast the spell is wasted. In either case, you can't use this property again until you finish a long rest."
"Hazirawn","HotDQ","94","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement","2d6, slashing, - heavy, two-handed","6 lb.","","A sentient (neutral evil) greatsword, Hazirawn is capable of speech in Common and Netherese. Even if you aren't attuned to the sword, you gain a +1 bonus to attack and damage rolls made with this weapon. If you are not attuned to Hazirawn, you deal an extra 1d6 necrotic damage when you hit with the weapon. Increased Potency. While you are attuned to this weapon, its bonus on attack and damage rolls increases to +2, and a hit deals an extra 2d6 necrotic damage (instead of 1d6). Spells. Hazirawn has 4 charges to cast spells. As long as the sword is attuned to you and you are holding it in your hand, you can cast detect magic (1 charge), detect evil and good (1 charge), or detect thoughts (2 charges). Each night at midnight, Hazirawn regains 1d4 expended charges. Wounding. While you are attuned to the weapon, any creature that you hit with Hazirawn can't regain hit points for 1 minute. The target can make a DC 15 Constitution saving throw at the end of each of its turns, ending this effect early on a success. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Headband of Intellect","DMG","173","uncommon","wondrous item","requires attunement","","","","Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is already 19 or higher without it."
"Healer's Kit","PHB","151","none","adventuring gear","","","3 lb.","5 gp","This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
"Heart Weaver's Primer","TCE","128","rare","wondrous item","requires attunement by a wizard","","3 lb.","","This pristine book smells faintly of a random scent you find pleasing. When found, the book contains the following spells: antipathy/sympathy, charm person, dominate person, enthrall, hypnotic pattern, modify memory, and suggestion. It functions as a spellbook for you.While you are holding the book, you can use it as a spellcasting focus for your wizard spells.The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the enchantment school.When you cast an enchantment spell, you can expend 1 charge to impose disadvantage on the first saving throw one target makes against the spell."
"Heartstone","MM","179","very rare","other","","","","","This lustrous black gem allows a night hag to become ethereal while it is in her possession. The touch of a heartstone also cures any disease. Crafting a heartstone takes 30 days."
"Heavy Crossbow","PHB","149","none","weapon, martial weapon, ranged weapon","","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","18 lb.","50 gp"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hell Hound Cloak","TftYP","228","rare","wondrous item","requires attunement","","1 lb.","","This dark cloak is made of cured hell hound hide. As an action, you can command the cloak to transform you into a hell hound for up to 1 hour. The transformation otherwise functions as the polymorph spell, but you can use a bonus action to revert to your normal form. Curse. This cloak is cursed with the essence of a hell hound, and becoming attuned to it extends the curse to you. Until the curse is broken with remove curse or similar magic, you are unwilling to part with the cloak, keeping it within reach at all times.The sixth time you use the cloak, and each time thereafter, you must make a DC 15 Charisma saving throw. On a failed save, the transformation lasts until dispelled or until you drop to 0 hit points, and you can't willingly return to normal form. If you ever remain in hell hound form for 6 hours, the transformation becomes permanent and you lose your sense of self. All your statistics are then replaced by those of a hell hound. Thereafter, only remove curse or similar magic allows you to regain your identity and return to normal. If you remain in this permanent form for 6 days, only a wish spell can reverse the transformation."
"Hellfire Weapon","BGDIA","223","uncommon","generic variant","","","","","This weapon is fashioned from infernal iron and traced with veins of hellfire that shed dim light in a 5-foot-radius.Any humanoid killed by an attack made with this weapon has its soul funneled into the River Styx, where it's reborn instantly as a lemure devil. Base items. This item variant can be applied to the following base items:Antimatter Rifle (Hellfire Antimatter Rifle)Automatic Pistol (Hellfire Automatic Pistol)Automatic Rifle (Hellfire Automatic Rifle)Battleaxe (Hellfire Battleaxe)Blowgun (Hellfire Blowgun)Club (Hellfire Club)Dagger (Hellfire Dagger)Dart (Hellfire Dart)Double-Bladed Scimitar (Hellfire Double-Bladed Scimitar)Flail (Hellfire Flail)Glaive (Hellfire Glaive)Greataxe (Hellfire Greataxe)Greatclub (Hellfire Greatclub)Greatsword (Hellfire Greatsword)Halberd (Hellfire Halberd)Hand Crossbow (Hellfire Hand Crossbow)Handaxe (Hellfire Handaxe)Heavy Crossbow (Hellfire Heavy Crossbow)Hooked Shortspear (Hellfire Hooked Shortspear)Hoopak (Hellfire Hoopak)Hunting Rifle (Hellfire Hunting Rifle)Javelin (Hellfire Javelin)Lance (Hellfire Lance)Laser Pistol (Hellfire Laser Pistol)Laser Rifle (Hellfire Laser Rifle)Light Crossbow (Hellfire Light Crossbow)Light Hammer (Hellfire Light Hammer)Light Repeating Crossbow (Hellfire Light Repeating Crossbow)Longbow (Hellfire Longbow)Longsword (Hellfire Longsword)Mace (Hellfire Mace)Maul (Hellfire Maul)Morningstar (Hellfire Morningstar)Musket (Hellfire Musket)Net (Hellfire Net)Pike (Hellfire Pike)Pistol (Hellfire Pistol)Quarterstaff (Hellfire Quarterstaff)Rapier (Hellfire Rapier)Revolver (Hellfire Revolver)Scimitar (Hellfire Scimitar)Shortbow (Hellfire Shortbow)Shortsword (Hellfire Shortsword)Shotgun (Hellfire Shotgun)Sickle (Hellfire Sickle)Sling (Hellfire Sling)Spear (Hellfire Spear)Trident (Hellfire Trident)War Pick (Hellfire War Pick)Warhammer (Hellfire Warhammer)Whip (Hellfire Whip)Yklwa (Hellfire Yklwa)"
"Helm of Brilliance","DMG","173","very rare","wondrous item","requires attunement","","","","This dazzling helm is set with 1d10 diamonds, 2d10 rubies, 3d10 fire opals, and 4d10 opals. Any gem pried from the helm crumbles to dust. When all the gems are removed or destroyed, the helm loses its magic.You gain the following benefits while wearing it:You can use an action to cast one of the following spells (save DC 18), using one of the helm's gems of the specified type as a component: daylight (opal), fireball (fire opal), prismatic spray (diamond), or wall of fire (ruby). The gem is destroyed when the spell is cast and disappears from the helm.As long as it has at least one diamond, the helm emits dim light in a 30-foot radius when at least one undead is within that area. Any undead that starts its turn in that area takes 1d6 radiant damage.As long as the helm has at least one ruby, you have resistance to fire damage.As long as the helm has at least one fire opal, you can use an action and speak a command word to cause one weapon you are holding to burst into flames. The flames emit bright light in a 10-foot radius and dim light for an additional 10 feet. The flames are harmless to you and the weapon. When you hit with an attack using the blazing weapon, the target takes an extra 1d6 fire damage. The flames last until you use a bonus action to speak the command word again or until you drop or stow the weapon.Roll a d20 if you are wearing the helm and take fire damage as a result of failing a saving throw against a spell. On a roll of 1, the helm emits beams of light from its remaining gems. Each creature within 60 feet of the helm other than you must succeed on a DC 17 Dexterity saving throw or be struck by a beam, taking radiant damage equal to the number of gems in the helm. The helm and its gems are then destroyed."
"Helm of Comprehending Languages","DMG","173","uncommon","wondrous item","","","","","While wearing this helm, you can use an action to cast the comprehend languages spell from it at will."
"Helm of Devil Command","BGDIA","223","very rare","wondrous item","requires attunement by a creature that can speak Infernal","","","","This bulky, eyeless helmet is made for a pit fiend but magically resizes to fit the heads of other wearers.While wearing the helm, you can see out of it as though you weren't wearing it. In addition, you know the exact location and type of all devils within 1,000 feet of you. You can telepathically communicate with a devil within range, or you can broadcast your thoughts to all devils within range. The devils receiving your broadcasted thoughts have no special means of replying to them.The helm has 3 charges. As an action, you can expend 1 charge to cast dominate monster (save DC 21), which affects devils only. (The spell fails and the charge is wasted if you target any creature that's not a devil.) If a devil can see you when you cast this spell on it, the devil knows you tried to charm it. The helm regains all its charges 24 hours after its last charge is expended.If you are not a devil, using the helm's dominate monster property in the Nine Hells has a 20 percent chance of attracting a narzugon, which arrives on the back of a nightmare mount in 1d4 hours. The narzugon tries to recover the helm, killing you if necessary to obtain it. If it gets the helm, the narzugon tries to deliver it to its infernal master."
"Helm of Perfect Potential","BGG","112","artifact","wondrous item","requires attunement","","","","This copper-hued helm contains a shard of the Elemental Chaos embedded in its forehead, surrounded by a motif of a rising sun. Legend says Annam fashioned this helm for his daughter Diancastra to hold the fragment of chaos she used to prove her worth to her father. Random Properties. The helm has the following random properties, determined by rolling on the appropriate table in the Dungeon Master's Guide:2 minor beneficial properties1 major beneficial property1 minor detrimental property Master of Guile. While wearing the helm, you have advantage on Charisma (Deception) and Wisdom (Insight) checks. Arrow of Elemental Havoc. As a bonus action while wearing the helm, you can launch a bolt of searing elemental energy toward a creature you can see within 90 feet of yourself. The target must make a DC 20 Dexterity saving throw. On a failed save, the creature takes 4d6 acid, cold, fire, lightning, or thunder damage (your choice). On a successful save, the creature takes half as much damage. Spellcasting. The helm has 6 charges and regains 1d6 charges each dawn. As an action while wearing the helm, you can expend 1 or more of its charges to cast one of the following spells (save DC 20): elemental weapon (1 charge), call lightning (2 charges), wall of fire (3 charges), conjure elemental (4 charges), tsunami (5 charges)."
"Helm of Telepathy","DMG","174","uncommon","wondrous item","requires attunement","","","","While wearing this helm, you can use an action to cast the detect thoughts spell (save DC 13) from it. As long as you maintain concentration on the spell, you can use a bonus action to send a telepathic message to a creature you are focused on. It can reply—using a bonus action to do so—while your focus on it continues.While focusing on a creature with detect thoughts, you can use an action to cast the suggestion spell (save DC 13) from the helm on that creature. Once used, the suggestion property can't be used again until the next dawn."
"Helm of Teleportation","DMG","174","rare","wondrous item","requires attunement","","","","This helm has 3 charges. While wearing it, you can use an action and expend 1 charge to cast the teleport spell from it. The helm regains 1d3 expended charges daily at dawn."
"Helm of Underwater Action","GoS","229","uncommon","wondrous item","requires attunement","","","","While wearing this brass helmet, you can breathe underwater, you gain darkvision with a range of 60 feet, and you gain a swimming speed of 30 feet."
"Helm of the Gods","MOT","196","rare","wondrous item","requires attunement","","","","While wearing this helm, you know whether there is a celestial or fiend within 30 feet of you, as well as where the creature is located, provided the creature isn't behind total cover.Whenever you finish a long rest while wearing the helm, you can pray to one of the gods listed on the Helm of the Gods table and store the listed spell in the helm, replacing any spell that is already stored there. The save DC for the spell is 13.The helm has 3 charges. To cast a spell from the helm, you must expend 1 charge, and the helm regains 1d3 charges daily at dawn.GodSpellAthreosprotection from evil and goodEpharasanctuaryErebosinflict woundsHeliodguiding boltIroasheroismKarametragoodberryKeranosthunderous smiteKlothysentangleKruphixdissonant whispersMogishellish rebukeNyleafaerie firePharikalesser restorationPhenaxcharm personPurphorossearing smiteThassaidentify"
